# packages in environment at /home/jwbowers/miniforge3/envs/mambaR:
#
# Name                    Version                   Build  Channel
gxx_impl_linux-64         13.2.0               h338b0a0_5    conda-forge
h11                       0.14.0             pyhd8ed1ab_0    conda-forge
h2                        4.1.0              pyhd8ed1ab_0    conda-forge
harfbuzz                  8.3.0                h3d44ed6_0    conda-forge
hpack                     4.0.0              pyh9f0ad1d_0    conda-forge
htop                      3.3.0                h2475386_0    conda-forge
httpcore                  1.0.4              pyhd8ed1ab_0    conda-forge
httpx                     0.27.0             pyhd8ed1ab_0    conda-forge
hyperframe                6.0.1              pyhd8ed1ab_0    conda-forge
icu                       73.2                 h59595ed_0    conda-forge
idna                      3.6                pyhd8ed1ab_0    conda-forge
importlib-metadata        7.0.2              pyha770c72_0    conda-forge
importlib_metadata        7.0.2                hd8ed1ab_0    conda-forge
importlib_resources       6.3.0              pyhd8ed1ab_0    conda-forge
ipykernel                 6.29.3             pyhd33586a_0    conda-forge
ipython                   8.22.2             pyh707e725_0    conda-forge
isoduration               20.11.0            pyhd8ed1ab_0    conda-forge
jedi                      0.19.1             pyhd8ed1ab_0    conda-forge
jinja2                    3.1.3              pyhd8ed1ab_0    conda-forge
json5                     0.9.24             pyhd8ed1ab_0    conda-forge
jsonpointer               2.4             py312h7900ff3_3    conda-forge
jsonschema                4.21.1             pyhd8ed1ab_0    conda-forge
jsonschema-specifications 2023.12.1          pyhd8ed1ab_0    conda-forge
jsonschema-with-format-nongpl 4.21.1             pyhd8ed1ab_0    conda-forge
jupyter-lsp               2.2.4              pyhd8ed1ab_0    conda-forge
jupyter_client            8.6.1              pyhd8ed1ab_0    conda-forge
jupyter_core              5.7.2           py312h7900ff3_0    conda-forge
jupyter_events            0.9.1              pyhd8ed1ab_0    conda-forge
jupyter_server            2.13.0             pyhd8ed1ab_0    conda-forge
jupyter_server_terminals  0.5.3              pyhd8ed1ab_0    conda-forge
jupyterlab                4.1.5              pyhd8ed1ab_0    conda-forge
jupyterlab_pygments       0.3.0              pyhd8ed1ab_1    conda-forge
jupyterlab_server         2.25.4             pyhd8ed1ab_0    conda-forge
kernel-headers_linux-64   2.6.32              he073ed8_17    conda-forge
keyutils                  1.6.1                h166bdaf_0    conda-forge
krb5                      1.21.2               h659d440_0    conda-forge
ld_impl_linux-64          2.40                 h41732ed_0    conda-forge
lerc                      4.0.0                h27087fc_0    conda-forge
libblas                   3.9.0           21_linux64_openblas    conda-forge
libcblas                  3.9.0           21_linux64_openblas    conda-forge
libcurl                   8.6.0                hca28451_0    conda-forge
libdeflate                1.19                 hd590300_0    conda-forge
libedit                   3.1.20191231         he28a2e2_2    conda-forge
libev                     4.33                 hd590300_2    conda-forge
libevent                  2.1.12               hf998b51_1    conda-forge
libexpat                  2.6.2                h59595ed_0    conda-forge
libffi                    3.4.2                h7f98852_5    conda-forge
libgcc-devel_linux-64     13.2.0             ha9c7c90_105    conda-forge
libgcc-ng                 13.2.0               h807b86a_5    conda-forge
libgfortran-ng            13.2.0               h69a702a_5    conda-forge
libgfortran5              13.2.0               ha4646dd_5    conda-forge
libgit2                   1.7.2                h76de150_0    conda-forge
libglib                   2.78.4               h783c2da_0    conda-forge
libgomp                   13.2.0               h807b86a_5    conda-forge
libhwloc                  2.9.3           default_h554bfaf_1009    conda-forge
libiconv                  1.17                 hd590300_2    conda-forge
libjpeg-turbo             3.0.0                hd590300_1    conda-forge
liblapack                 3.9.0           21_linux64_openblas    conda-forge
libnghttp2                1.58.0               h47da74e_1    conda-forge
libnl                     3.9.0                hd590300_0    conda-forge
libnsl                    2.0.1                hd590300_0    conda-forge
libopenblas               0.3.26          pthreads_h413a1c8_0    conda-forge
libpng                    1.6.43               h2797004_0    conda-forge
libsanitizer              13.2.0               h7e041cc_5    conda-forge
libsodium                 1.0.18               h36c2ea0_1    conda-forge
libsqlite                 3.45.2               h2797004_0    conda-forge
libssh2                   1.11.0               h0841786_0    conda-forge
libstdcxx-devel_linux-64  13.2.0             ha9c7c90_105    conda-forge
libstdcxx-ng              13.2.0               h7e041cc_5    conda-forge
libtiff                   4.6.0                ha9c0a0a_2    conda-forge
libuuid                   2.38.1               h0b41bf4_0    conda-forge
libuv                     1.46.0               hd590300_0    conda-forge
libwebp-base              1.3.2                hd590300_0    conda-forge
libxcb                    1.15                 h0b41bf4_0    conda-forge
libxcrypt                 4.4.36               hd590300_1    conda-forge
libxml2                   2.12.6               h232c23b_0    conda-forge
libzlib                   1.2.13               hd590300_5    conda-forge
lua                       5.4.6                h9627803_0    conda-forge
make                      4.3                  hd18ef5c_1    conda-forge
markupsafe                2.1.5           py312h98912ed_0    conda-forge
matplotlib-inline         0.1.6              pyhd8ed1ab_0    conda-forge
mistune                   3.0.2              pyhd8ed1ab_0    conda-forge
mpfr                      4.2.1                h9458935_0    conda-forge
mpi                       1.0                     openmpi    conda-forge
msgpack-python            1.0.7           py312h8572e83_0    conda-forge
nbclient                  0.10.0             pyhd8ed1ab_0    conda-forge
nbconvert-core            7.16.2             pyhd8ed1ab_0    conda-forge
nbformat                  5.10.3             pyhd8ed1ab_0    conda-forge
ncurses                   6.4                  h59595ed_2    conda-forge
neovim                    0.3.1              pyhd8ed1ab_3    conda-forge
nest-asyncio              1.6.0              pyhd8ed1ab_0    conda-forge
nodejs                    20.9.0               hb753e55_0    conda-forge
notebook                  7.1.2              pyhd8ed1ab_0    conda-forge
notebook-shim             0.2.4              pyhd8ed1ab_0    conda-forge
openmpi                   4.1.6              hc5af2df_101    conda-forge
openssl                   3.2.1                hd590300_1    conda-forge
overrides                 7.7.0              pyhd8ed1ab_0    conda-forge
packaging                 24.0               pyhd8ed1ab_0    conda-forge
pandoc                    3.1.12.2             ha770c72_0    conda-forge
pandocfilters             1.5.0              pyhd8ed1ab_0    conda-forge
pango                     1.52.1               ha41ecd1_0    conda-forge
parso                     0.8.3              pyhd8ed1ab_0    conda-forge
pcre2                     10.42                hcad00b1_0    conda-forge
perl                      5.32.1          7_hd590300_perl5    conda-forge
pexpect                   4.9.0              pyhd8ed1ab_0    conda-forge
pickleshare               0.7.5                   py_1003    conda-forge
pip                       24.0               pyhd8ed1ab_0    conda-forge
pixman                    0.43.2               h59595ed_0    conda-forge
pkgutil-resolve-name      1.3.10             pyhd8ed1ab_1    conda-forge
platformdirs              4.2.0              pyhd8ed1ab_0    conda-forge
powerline-status          2.8.3           py312h98912ed_2    conda-forge
prometheus_client         0.20.0             pyhd8ed1ab_0    conda-forge
prompt-toolkit            3.0.42             pyha770c72_0    conda-forge
psutil                    5.9.8           py312h98912ed_0    conda-forge
pthread-stubs             0.4               h36c2ea0_1001    conda-forge
ptyprocess                0.7.0              pyhd3deb0d_0    conda-forge
pure_eval                 0.2.2              pyhd8ed1ab_0    conda-forge
pycparser                 2.21               pyhd8ed1ab_0    conda-forge
pygments                  2.17.2             pyhd8ed1ab_0    conda-forge
pynvim                    0.5.0              pyhd8ed1ab_0    conda-forge
pysocks                   1.7.1              pyha2e5f31_6    conda-forge
python                    3.12.2          hab00c5b_0_cpython    conda-forge
python-dateutil           2.9.0              pyhd8ed1ab_0    conda-forge
python-fastjsonschema     2.19.1             pyhd8ed1ab_0    conda-forge
python-json-logger        2.0.7              pyhd8ed1ab_0    conda-forge
python_abi                3.12                    4_cp312    conda-forge
pytz                      2024.1             pyhd8ed1ab_0    conda-forge
pyyaml                    6.0.1           py312h98912ed_1    conda-forge
pyzmq                     25.1.2          py312h886d080_0    conda-forge
r-askpass                 1.2.0             r43h57805ef_0    conda-forge
r-assertthat              0.2.1             r43hc72bb7e_4    conda-forge
r-backports               1.4.1             r43h57805ef_2    conda-forge
r-base                    4.3.3                hb8ee39d_0    conda-forge
r-base64enc               0.1_3           r43h57805ef_1006    conda-forge
r-bench                   1.1.3             r43h57805ef_1    conda-forge
r-bit                     4.0.5             r43h57805ef_1    conda-forge
r-bit64                   4.0.5             r43h57805ef_2    conda-forge
r-blob                    1.2.4             r43hc72bb7e_1    conda-forge
r-boot                    1.3_30            r43hc72bb7e_0    conda-forge
r-brew                    1.0_10            r43hc72bb7e_0    conda-forge
r-brio                    1.1.4             r43h57805ef_0    conda-forge
r-broom                   1.0.5             r43hc72bb7e_1    conda-forge
r-bslib                   0.6.1             r43hc72bb7e_0    conda-forge
r-cachem                  1.0.8             r43h57805ef_1    conda-forge
r-callr                   3.7.5             r43hc72bb7e_0    conda-forge
r-caret                   6.0_94            r43h57805ef_1    conda-forge
r-cellranger              1.1.0           r43hc72bb7e_1006    conda-forge
r-class                   7.3_22            r43h57805ef_1    conda-forge
r-cli                     3.6.2             r43ha503ecb_0    conda-forge
r-clipr                   0.8.0             r43hc72bb7e_2    conda-forge
r-clock                   0.7.0             r43ha503ecb_1    conda-forge
r-cluster                 2.1.6             r43h61816a4_0    conda-forge
r-clusterr                1.3.2             r43h08d816e_0    conda-forge
r-codetools               0.2_19            r43hc72bb7e_1    conda-forge
r-coin                    1.4_3             r43h57805ef_0    conda-forge
r-colorspace              2.1_0             r43h57805ef_1    conda-forge
r-commonmark              1.9.1             r43h57805ef_0    conda-forge
r-conflicted              1.2.0             r43h785f33e_1    conda-forge
r-cpp11                   0.4.7             r43hc72bb7e_0    conda-forge
r-crayon                  1.5.2             r43hc72bb7e_2    conda-forge
r-credentials             2.0.1             r43hc72bb7e_0    conda-forge
r-crul                    1.4.0             r43h785f33e_1    conda-forge
r-curl                    5.1.0             r43hf9611b0_0    conda-forge
r-data.table              1.15.2            r43h029312a_0    conda-forge
r-dbi                     1.2.2             r43hc72bb7e_0    conda-forge
r-dbplyr                  2.4.0             r43hc72bb7e_0    conda-forge
r-desc                    1.4.3             r43hc72bb7e_0    conda-forge
r-devtools                2.4.5             r43hc72bb7e_2    conda-forge
r-diagram                 1.6.5             r43ha770c72_2    conda-forge
r-diffobj                 0.3.5             r43h57805ef_2    conda-forge
r-digest                  0.6.35            r43ha503ecb_0    conda-forge
r-downlit                 0.4.3             r43hc72bb7e_0    conda-forge
r-dplyr                   1.1.4             r43ha503ecb_0    conda-forge
r-dtplyr                  1.3.1             r43hc72bb7e_1    conda-forge
r-e1071                   1.7_14            r43ha503ecb_0    conda-forge
r-ellipsis                0.3.2             r43h57805ef_2    conda-forge
r-essentials              4.3             r43hd8ed1ab_2004    conda-forge
r-estimatr                1.0.2             r43ha503ecb_0    conda-forge
r-evaluate                0.23              r43hc72bb7e_0    conda-forge
r-fansi                   1.0.6             r43h57805ef_0    conda-forge
r-farver                  2.1.1             r43ha503ecb_2    conda-forge
r-fastmap                 1.1.1             r43ha503ecb_1    conda-forge
r-fontawesome             0.5.2             r43hc72bb7e_0    conda-forge
r-forcats                 1.0.0             r43hc72bb7e_1    conda-forge
r-foreach                 1.5.2             r43hc72bb7e_2    conda-forge
r-foreign                 0.8_86            r43h57805ef_0    conda-forge
r-formatr                 1.14              r43hc72bb7e_1    conda-forge
r-formula                 1.2_5             r43hc72bb7e_1    conda-forge
r-fs                      1.6.3             r43ha503ecb_0    conda-forge
r-future                  1.33.1            r43hc72bb7e_0    conda-forge
r-future.apply            1.11.1            r43hc72bb7e_0    conda-forge
r-gargle                  1.5.2             r43h785f33e_0    conda-forge
r-gbrd                    0.4_11          r43hc72bb7e_1005    conda-forge
r-generics                0.1.3             r43hc72bb7e_2    conda-forge
r-gert                    2.0.1             r43hc25a090_0    conda-forge
r-ggforce                 0.4.2             r43ha503ecb_0    conda-forge
r-ggplot2                 3.5.0             r43hc72bb7e_0    conda-forge
r-ggraph                  2.1.0             r43ha503ecb_2    conda-forge
r-ggrepel                 0.9.5             r43ha503ecb_0    conda-forge
r-gh                      1.4.0             r43hc72bb7e_1    conda-forge
r-gistr                   0.9.0             r43hc72bb7e_2    conda-forge
r-gitcreds                0.1.2             r43hc72bb7e_2    conda-forge
r-glmnet                  4.1_8             r43hcf54a89_0    conda-forge
r-globals                 0.16.3            r43hc72bb7e_0    conda-forge
r-glue                    1.7.0             r43h57805ef_0    conda-forge
r-gmp                     0.7_4             r43ha503ecb_0    conda-forge
r-googledrive             2.1.1             r43hc72bb7e_1    conda-forge
r-googlesheets4           1.1.1             r43h785f33e_1    conda-forge
r-gower                   1.0.1             r43h57805ef_1    conda-forge
r-graphlayouts            1.1.0             r43ha503ecb_0    conda-forge
r-gridextra               2.3             r43hc72bb7e_1005    conda-forge
r-gtable                  0.3.4             r43hc72bb7e_0    conda-forge
r-hardhat                 1.3.1             r43hc72bb7e_0    conda-forge
r-haven                   2.5.4             r43ha503ecb_0    conda-forge
r-here                    1.0.1             r43hc72bb7e_2    conda-forge
r-hexbin                  1.28.3            r43h61816a4_1    conda-forge
r-highr                   0.10              r43hc72bb7e_1    conda-forge
r-hms                     1.1.3             r43hc72bb7e_1    conda-forge
r-htmltools               0.5.7             r43ha503ecb_0    conda-forge
r-htmlwidgets             1.6.4             r43hc72bb7e_1    conda-forge
r-httpcode                0.3.0             r43ha770c72_3    conda-forge
r-httpuv                  1.6.14            r43ha503ecb_0    conda-forge
r-httr                    1.4.7             r43hc72bb7e_0    conda-forge
r-httr2                   1.0.0             r43hc72bb7e_0    conda-forge
r-ids                     1.0.1             r43hc72bb7e_3    conda-forge
r-igraph                  2.0.2             r43hbec7d4a_0    conda-forge
r-ini                     0.3.1           r43hc72bb7e_1005    conda-forge
r-ipred                   0.9_14            r43h57805ef_1    conda-forge
r-irdisplay               1.1               r43hd8ed1ab_2    conda-forge
r-irkernel                1.3.2             r43h785f33e_1    conda-forge
r-isoband                 0.2.7             r43ha503ecb_2    conda-forge
r-iterators               1.0.14            r43hc72bb7e_2    conda-forge
r-jquerylib               0.1.4             r43hc72bb7e_2    conda-forge
r-jsonlite                1.8.8             r43h57805ef_0    conda-forge
r-kernsmooth              2.23_22           r43h13b3f57_0    conda-forge
r-knitr                   1.45              r43hc72bb7e_1    conda-forge
r-labeling                0.4.3             r43hc72bb7e_0    conda-forge
r-later                   1.3.2             r43ha503ecb_0    conda-forge
r-lattice                 0.22_5            r43h57805ef_0    conda-forge
r-lava                    1.7.3             r43hc72bb7e_0    conda-forge
r-lazyeval                0.2.2             r43h57805ef_4    conda-forge
r-libcoin                 1.0_10            r43h316c678_0    conda-forge
r-lifecycle               1.0.4             r43hc72bb7e_0    conda-forge
r-listenv                 0.9.1             r43hc72bb7e_0    conda-forge
r-lobstr                  1.1.2             r43ha503ecb_3    conda-forge
r-lubridate               1.9.3             r43h57805ef_0    conda-forge
r-magrittr                2.0.3             r43h57805ef_2    conda-forge
r-maps                    3.4.2             r43h57805ef_0    conda-forge
r-mass                    7.3_60            r43h57805ef_1    conda-forge
r-matrix                  1.6_5             r43h316c678_0    conda-forge
r-matrixstats             1.2.0             r43h57805ef_0    conda-forge
r-memoise                 2.0.1             r43hc72bb7e_2    conda-forge
r-mgcv                    1.9_1             r43h316c678_0    conda-forge
r-mime                    0.12              r43h57805ef_2    conda-forge
r-miniui                  0.1.1.1         r43hc72bb7e_1004    conda-forge
r-modelmetrics            1.2.2.2           r43ha503ecb_3    conda-forge
r-modelr                  0.1.11            r43hc72bb7e_1    conda-forge
r-modeltools              0.2_23            r43hc72bb7e_3    conda-forge
r-multcomp                1.4_25            r43hc72bb7e_0    conda-forge
r-munsell                 0.5.0           r43hc72bb7e_1006    conda-forge
r-mvtnorm                 1.2_4             r43hd9ac46e_0    conda-forge
r-nlme                    3.1_164           r43h61816a4_0    conda-forge
r-nnet                    7.3_19            r43h57805ef_1    conda-forge
r-numderiv                2016.8_1.1        r43hc72bb7e_5    conda-forge
r-openssl                 2.1.1             r43hb353fa6_0    conda-forge
r-parallelly              1.37.1            r43h57805ef_0    conda-forge
r-pbdzmq                  0.3_11            r43hc2df49b_0    conda-forge
r-pillar                  1.9.0             r43hc72bb7e_1    conda-forge
r-pkgbuild                1.4.4             r43hc72bb7e_0    conda-forge
r-pkgconfig               2.0.3             r43hc72bb7e_3    conda-forge
r-pkgdown                 2.0.7             r43hc72bb7e_1    conda-forge
r-pkgload                 1.3.4             r43hc72bb7e_0    conda-forge
r-plyr                    1.8.9             r43ha503ecb_0    conda-forge
r-polyclip                1.10_6            r43ha503ecb_0    conda-forge
r-praise                  1.0.0           r43hc72bb7e_1007    conda-forge
r-prettyunits             1.2.0             r43hc72bb7e_0    conda-forge
r-proc                    1.18.5            r43ha503ecb_0    conda-forge
r-processx                3.8.4             r43h57805ef_0    conda-forge
r-prodlim                 2023.08.28        r43ha503ecb_0    conda-forge
r-profmem                 0.6.0             r43hc72bb7e_2    conda-forge
r-profvis                 0.3.8             r43h57805ef_3    conda-forge
r-progress                1.2.3             r43hc72bb7e_0    conda-forge
r-progressr               0.14.0            r43hc72bb7e_0    conda-forge
r-promises                1.2.1             r43ha503ecb_0    conda-forge
r-proxy                   0.4_27            r43h57805ef_2    conda-forge
r-pryr                    0.1.6             r43ha503ecb_1    conda-forge
r-ps                      1.7.6             r43h57805ef_0    conda-forge
r-purrr                   1.0.2             r43h57805ef_0    conda-forge
r-quantmod                0.4.26            r43hc72bb7e_0    conda-forge
r-r6                      2.5.1             r43hc72bb7e_2    conda-forge
r-ragg                    1.3.0             r43h73ae6e3_0    conda-forge
r-randomforest            4.7_1.1           r43h61816a4_2    conda-forge
r-randomizr               1.0.0             r43h57805ef_0    conda-forge
r-rappdirs                0.3.3             r43h57805ef_2    conda-forge
r-rbibutils               2.2.16            r43h57805ef_0    conda-forge
r-rbokeh                  0.5.2             r43hc72bb7e_3    conda-forge
r-rcmdcheck               1.4.0             r43h785f33e_2    conda-forge
r-rcolorbrewer            1.1_3             r43h785f33e_2    conda-forge
r-rcpp                    1.0.12            r43h7df8631_0    conda-forge
r-rcpparmadillo           0.12.8.1.0        r43h08d816e_0    conda-forge
r-rcppdist                0.1.1             r43h08d816e_2    conda-forge
r-rcppeigen               0.3.4.0.0         r43h08d816e_0    conda-forge
r-rcppgsl                 0.3.13            r43h7ce84a7_1    conda-forge
r-rcppparallel            5.1.6             r43ha503ecb_1    conda-forge
r-rcppziggurat            0.1.6             r43h7ce84a7_3    conda-forge
r-rdpack                  2.6               r43hc72bb7e_0    conda-forge
r-readr                   2.1.5             r43ha503ecb_0    conda-forge
r-readxl                  1.4.3             r43ha5c9fba_0    conda-forge
r-recipes                 1.0.10            r43hc72bb7e_0    conda-forge
r-recommended             4.3             r43hd8ed1ab_1006    conda-forge
r-rematch                 2.0.0             r43hc72bb7e_0    conda-forge
r-rematch2                2.1.2             r43hc72bb7e_3    conda-forge
r-remotes                 2.5.0             r43hc72bb7e_0    conda-forge
r-renv                    1.0.5             r43hc72bb7e_0    conda-forge
r-repr                    1.1.6             r43h785f33e_1    conda-forge
r-reprex                  2.1.0             r43hc72bb7e_0    conda-forge
r-reshape2                1.4.4             r43ha503ecb_3    conda-forge
r-rfast                   2.1.0             r43h08d816e_0    conda-forge
r-rlang                   1.1.3             r43ha503ecb_0    conda-forge
r-rmarkdown               2.26              r43hc72bb7e_0    conda-forge
r-rmpi                    0.7_2             r43hd1460b4_0    conda-forge
r-roxygen2                7.3.1             r43ha503ecb_0    conda-forge
r-rpart                   4.1.23            r43h57805ef_0    conda-forge
r-rprojroot               2.0.4             r43hc72bb7e_0    conda-forge
r-rstudioapi              0.15.0            r43hc72bb7e_0    conda-forge
r-rversions               2.1.2             r43hc72bb7e_2    conda-forge
r-rvest                   1.0.4             r43hc72bb7e_0    conda-forge
r-sandwich                3.1_0             r43hc72bb7e_0    conda-forge
r-sass                    0.4.9             r43ha503ecb_0    conda-forge
r-scales                  1.3.0             r43hc72bb7e_0    conda-forge
r-selectr                 0.4_2             r43hc72bb7e_3    conda-forge
r-sessioninfo             1.2.2             r43hc72bb7e_2    conda-forge
r-shape                   1.4.6.1           r43ha770c72_0    conda-forge
r-shiny                   1.8.0             r43h785f33e_0    conda-forge
r-snow                    0.4_4             r43hc72bb7e_2    conda-forge
r-sourcetools             0.1.7_1           r43ha503ecb_1    conda-forge
r-spatial                 7.3_17            r43h57805ef_0    conda-forge
r-squarem                 2021.1            r43hc72bb7e_2    conda-forge
r-stringi                 1.8.3             r43h9facbd6_0    conda-forge
r-stringr                 1.5.1             r43h785f33e_0    conda-forge
r-survival                3.5_8             r43h57805ef_0    conda-forge
r-sys                     3.4.2             r43h57805ef_1    conda-forge
r-systemfonts             1.0.5             r43haf97adc_0    conda-forge
r-testthat                3.2.1             r43ha503ecb_0    conda-forge
r-textshaping             0.3.7             r43hd87b9d6_0    conda-forge
r-th.data                 1.1_2             r43hc72bb7e_1    conda-forge
r-tibble                  3.2.1             r43h57805ef_2    conda-forge
r-tidygraph               1.3.0             r43ha503ecb_0    conda-forge
r-tidyr                   1.3.1             r43ha503ecb_0    conda-forge
r-tidyselect              1.2.0             r43hc72bb7e_1    conda-forge
r-tidyverse               2.0.0             r43h785f33e_1    conda-forge
r-timechange              0.3.0             r43ha503ecb_0    conda-forge
r-timedate                4032.109          r43hc72bb7e_0    conda-forge
r-tinytex                 0.50              r43hc72bb7e_0    conda-forge
r-triebeard               0.4.1             r43ha503ecb_1    conda-forge
r-ttr                     0.24.4            r43h57805ef_0    conda-forge
r-tweenr                  2.0.3             r43ha503ecb_0    conda-forge
r-tzdb                    0.4.0             r43ha503ecb_1    conda-forge
r-urlchecker              1.0.1             r43hc72bb7e_2    conda-forge
r-urltools                1.7.3             r43ha503ecb_4    conda-forge
r-usethis                 2.2.3             r43hc72bb7e_0    conda-forge
r-utf8                    1.2.4             r43h57805ef_0    conda-forge
r-uuid                    1.2_0             r43h57805ef_0    conda-forge
r-vctrs                   0.6.5             r43ha503ecb_0    conda-forge
r-viridis                 0.6.5             r43hc72bb7e_0    conda-forge
r-viridislite             0.4.2             r43hc72bb7e_1    conda-forge
r-vroom                   1.6.5             r43ha503ecb_0    conda-forge
r-waldo                   0.5.2             r43hc72bb7e_0    conda-forge
r-whisker                 0.4.1             r43hc72bb7e_1    conda-forge
r-withr                   3.0.0             r43hc72bb7e_0    conda-forge
r-xfun                    0.42              r43ha503ecb_0    conda-forge
r-xml2                    1.3.6             r43hbfba7a4_1    conda-forge
r-xopen                   1.0.0           r43hc72bb7e_1005    conda-forge
r-xtable                  1.8_4             r43hc72bb7e_5    conda-forge
r-xts                     0.13.2            r43h57805ef_0    conda-forge
r-yaml                    2.3.8             r43h57805ef_0    conda-forge
r-zip                     2.3.1             r43h57805ef_0    conda-forge
r-zoo                     1.8_12            r43h57805ef_1    conda-forge
readline                  8.2                  h8228510_1    conda-forge
referencing               0.34.0             pyhd8ed1ab_0    conda-forge
requests                  2.31.0             pyhd8ed1ab_0    conda-forge
rfc3339-validator         0.1.4              pyhd8ed1ab_0    conda-forge
rfc3986-validator         0.1.1              pyh9f0ad1d_0    conda-forge
ripgrep                   14.1.0               he8a937b_0    conda-forge
rpds-py                   0.18.0          py312h4b3b743_0    conda-forge
sed                       4.8                  he412f7d_0    conda-forge
send2trash                1.8.2              pyh41d4057_0    conda-forge
setuptools                69.2.0             pyhd8ed1ab_0    conda-forge
six                       1.16.0             pyh6c4a22f_0    conda-forge
sniffio                   1.3.1              pyhd8ed1ab_0    conda-forge
soupsieve                 2.5                pyhd8ed1ab_1    conda-forge
stack_data                0.6.2              pyhd8ed1ab_0    conda-forge
sysroot_linux-64          2.12                he073ed8_17    conda-forge
terminado                 0.18.1             pyh0d859eb_0    conda-forge
texlive-core              20230313            h3bae942_11    conda-forge
tinycss2                  1.2.1              pyhd8ed1ab_0    conda-forge
tk                        8.6.13          noxft_h4845f30_101    conda-forge
tktable                   2.10                 h0c5db8f_5    conda-forge
tmux                      3.4                  hb25038b_0    conda-forge
tomli                     2.0.1              pyhd8ed1ab_0    conda-forge
tornado                   6.4             py312h98912ed_0    conda-forge
traitlets                 5.14.2             pyhd8ed1ab_0    conda-forge
types-python-dateutil     2.9.0.20240316     pyhd8ed1ab_0    conda-forge
typing-extensions         4.10.0               hd8ed1ab_0    conda-forge
typing_extensions         4.10.0             pyha770c72_0    conda-forge
typing_utils              0.1.0              pyhd8ed1ab_0    conda-forge
tzdata                    2024a                h0c530f3_0    conda-forge
uri-template              1.3.0              pyhd8ed1ab_0    conda-forge
urllib3                   2.2.1              pyhd8ed1ab_0    conda-forge
wcwidth                   0.2.13             pyhd8ed1ab_0    conda-forge
webcolors                 1.13               pyhd8ed1ab_0    conda-forge
webencodings              0.5.1              pyhd8ed1ab_2    conda-forge
websocket-client          1.7.0              pyhd8ed1ab_0    conda-forge
